City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,tromso,69.6496,18.957,2.01,87,75,9.26,NO,1738787848
244,belle fourche,44.6714,-103.8522,-9.27,83,100,5.69,US,1738787849
245,port moresby,-9.4431,147.1797,24.68,94,40,1.54,PG,1738787851
246,bodo,67.28,14.405,2.65,92,75,8.75,NO,1738787854
247,yangjiang,21.85,111.9667,15.33,42,99,2.14,CN,1738787656
248,antsiranana,-12.2787,49.2917,25.17,86,100,3.27,MG,1738787857
249,remire-montjoly,4.9167,-52.2667,28.02,83,75,5.14,GF,1738787858
250,bereket,39.2446,55.5154,6.2,52,61,4.55,TM,1738787861
251,hafar al-batin,28.4328,45.9708,22.32,23,40,4.12,SA,1738787862
252,el maamoura,36.465,10.8061,11.57,74,100,3.6,TN,1738787863
253,paracuru,-3.41,-39.0306,27.05,77,81,4.92,BR,1738787864
254,mohammedia,33.7066,-7.3944,15.85,82,2,3.09,MA,1738787865
255,vera cruz,-12.6333,-41.0333,27.86,47,27,3.08,BR,1738787866
256,nyurba,63.2842,118.3319,-45.01,100,60,1.62,RU,1738787867
257,sao joao da barra,-21.6403,-41.0511,29.05,85,0,6.83,BR,1738787869
258,mili,6.0815,171.735,27.06,83,84,9.68,MH,1738787870
259,la'ie,21.6477,-157.9253,25.03,78,100,1.34,US,1738787871
260,cambridge,43.3601,-80.3127,-2.72,67,100,2.06,CA,1738787872
261,houmt el souk,33.8758,10.8575,14.97,77,40,4.63,TN,1738787873
262,alice springs,-23.7,133.8833,23.75,46,48,0.0,AU,1738787874
263,gorontalo,0.5412,123.0595,24.08,94,100,1.49,ID,1738787875
264,naze,28.3667,129.4833,10.51,52,99,7.7,JP,1738787876
265,igarka,67.4667,86.5833,-22.3,99,99,1.01,RU,1738787877
266,hasaki,35.7333,140.8333,3.49,35,1,7.68,JP,1738787878
267,kristiansund,63.1115,7.732,5.63,70,75,4.63,NO,1738787880
268,noumea,-22.2763,166.4572,28.52,88,95,2.15,NC,1738787881
269,port saint john's,-31.6229,29.5448,22.53,92,100,4.12,ZA,1738787882
270,saint-louis,16.3333,-15.0,22.75,11,3,4.14,SN,1738787883
271,okhotsk,59.3833,143.3,-22.49,67,23,7.01,RU,1738787884
272,tolanaro,-25.0319,46.9987,25.54,91,2,5.02,MG,1738787885
273,letterkenny,54.95,-7.7333,2.21,95,9,1.63,IE,1738787886
274,kone,-21.0595,164.8658,27.89,78,95,2.08,NC,1738787887
275,sumbe,-11.2061,13.8437,25.8,88,80,2.79,AO,1738787888
276,ormara,25.2088,64.6357,20.41,51,0,2.77,PK,1738787891
277,fale old settlement,-9.3852,-171.2468,28.45,75,96,7.85,TK,1738787892
278,hithadhoo,-0.6,73.0833,27.75,64,25,5.38,MV,1738787893
279,saint-pierre,-21.3393,55.4781,27.82,78,0,2.06,RE,1738787894
280,petropavlovsk-kamchatsky,53.0452,158.6483,-1.67,47,20,8.0,RU,1738787895
281,byarozawka,53.7214,25.4993,-1.63,95,100,1.76,BY,1738787896
282,tomohon,1.3346,124.8392,19.52,96,100,0.63,ID,1738787897
283,nuriootpa,-34.4833,139.0,19.36,42,0,2.01,AU,1738787899
284,taroa,8.7058,171.2275,26.84,86,62,9.64,MH,1738787900
285,el haouaria,37.05,11.0144,11.01,63,90,2.89,TN,1738787901
286,port blair,11.6667,92.75,24.02,94,40,1.03,IN,1738787902
287,harstad,68.799,16.5293,2.31,90,38,2.24,NO,1738787904
288,mount pearl,47.5166,-52.7813,-7.14,77,100,9.77,CA,1738787905
289,pekan,3.4836,103.3996,23.64,87,100,3.25,MY,1738787906
290,franceville,-1.6333,13.5836,23.59,85,99,0.84,GA,1738787908
291,finspang,58.7058,15.7674,0.62,92,0,2.11,SE,1738787909
292,ulsteinvik,62.3432,5.8487,6.07,79,83,6.18,NO,1738787910
293,osterburg,52.7833,11.7667,3.94,99,100,2.5,DE,1738787911
294,adygeysk,44.88,39.19,0.98,80,0,6.0,RU,1738787912
295,arteche,12.2645,125.4048,25.13,92,100,4.39,PH,1738787914
296,holualoa,19.6228,-155.9522,24.75,61,75,2.57,US,1738787915
297,khandyga,62.6667,135.6,-43.15,100,50,0.39,RU,1738787916
298,sabang,5.8933,95.3214,26.85,79,73,4.38,ID,1738787918
299,aasiaat,68.7098,-52.8699,-31.58,98,52,1.43,GL,1738787919
300,mawlaik,23.6333,94.4167,13.34,74,2,0.7,MM,1738787920
301,san luis de la loma,17.2706,-100.8939,29.72,51,0,3.4,MX,1738787921
302,arraial do cabo,-22.9661,-42.0278,28.98,57,20,10.29,BR,1738787922
303,yurgamysh,55.3714,64.4656,-12.45,98,97,2.37,RU,1738787924
304,kataba,8.4604,-0.7732,32.64,12,1,0.81,GH,1738787925
305,sherpur,25.0188,90.0175,16.09,71,0,2.93,BD,1738787927
306,kharp,66.8014,65.8081,-13.85,98,100,1.37,RU,1738787929
307,bouca,6.5105,18.2733,27.3,15,100,1.69,CF,1738787931
308,papao,-17.75,-149.55,27.21,78,76,6.31,PF,1738787932
309,caxito,-8.5785,13.6643,25.55,90,97,1.33,AO,1738787933
310,smithers,54.7804,-127.1743,-17.82,85,0,2.06,CA,1738787700
311,labasa,-16.4167,179.3833,27.67,78,100,2.94,FJ,1738787935
312,dumas,35.8656,-101.9732,25.08,7,0,9.77,US,1738787936
313,sinfra,6.6167,-5.9167,26.51,23,0,0.88,CI,1738787938
314,hilo,19.7297,-155.09,25.05,73,20,2.68,US,1738787939
315,celanova,42.153,-7.9551,4.54,77,100,1.54,ES,1738787940
316,lompoc,34.6391,-120.4579,14.27,84,100,3.6,US,1738787856
317,fortuna,40.5982,-124.1573,9.99,89,75,6.69,US,1738787942
318,yilan,24.757,121.753,13.37,97,100,1.11,TW,1738787836
319,upington,-28.4478,21.2561,26.06,47,100,2.48,ZA,1738787944
320,isla mujeres,21.2311,-86.731,28.03,71,20,5.81,MX,1738787945
321,laurel,39.0993,-76.8483,4.29,50,40,3.6,US,1738787946
322,nampula,-15.1165,39.2666,21.07,94,99,0.59,MZ,1738787948
323,harnosand,62.6323,17.9379,-3.0,79,6,4.73,SE,1738787949
324,brainerd,46.358,-94.2008,-7.78,53,100,3.09,US,1738787950
325,tucurui,-3.7661,-49.6725,26.45,88,61,1.44,BR,1738787951
326,luanda,-8.8368,13.2343,26.52,83,99,4.55,AO,1738787720
327,antalaha,-14.9003,50.2788,24.72,87,100,1.56,MG,1738787953
328,olovyannaya,50.95,115.5667,-22.56,93,100,5.44,RU,1738787954
329,tindouf,27.6711,-8.1474,17.25,20,0,2.57,DZ,1738787955
330,rongelap,11.1635,166.8941,26.88,80,98,8.73,MH,1738787956
331,cambria,35.5641,-121.0808,13.36,81,48,1.79,US,1738787958
332,uliastay,47.7417,96.8444,-26.42,91,18,2.76,MN,1738787959
333,tan-tan,28.438,-11.1032,15.66,58,0,6.86,MA,1738787960
334,moires,35.0532,24.8744,10.07,53,76,9.39,GR,1738787961
335,cabo san lucas,22.8909,-109.9124,26.17,38,0,2.57,MX,1738787962
336,san fernando de apure,7.8878,-67.4724,36.25,27,15,3.91,VE,1738787963
337,kolomyia,48.5306,25.0403,0.1,99,100,1.61,UA,1738787964
338,tionk essil,12.7856,-16.5217,23.06,31,57,4.03,SN,1738787965
339,taro,-8.3862,115.28,21.11,93,100,1.13,ID,1738787966
340,homestead meadows south,31.811,-106.1643,25.73,12,0,5.19,US,1738787968
341,broken hill,-31.95,141.4333,27.13,52,0,4.92,AU,1738787969
342,mazagao,-0.115,-51.2894,25.33,92,86,1.73,BR,1738787970
343,vada,51.97,5.6667,5.53,96,100,1.03,NL,1738787971
344,acarau,-2.8856,-40.12,26.8,78,93,5.37,BR,1738787972
345,beau vallon,-20.4189,57.6953,27.13,89,20,1.54,MU,1738787973
346,ad dawadimi,24.5077,44.3924,17.64,19,100,7.13,SA,1738787974
347,saran,47.9501,1.876,5.01,93,100,4.63,FR,1738787975
348,ambovombe,-25.1667,46.0833,24.8,92,11,3.94,MG,1738787976
349,cockburn town,21.4612,-71.1419,24.15,67,0,10.16,TC,1738787977
350,caleta de carquin,-11.0925,-77.6267,24.1,74,86,3.63,PE,1738787979
351,siwana,25.6333,72.4167,14.46,23,0,2.1,IN,1738787980
352,camacupa,-12.0167,17.4833,17.39,90,100,0.91,AO,1738787981
353,mottola,40.6353,17.0353,7.99,71,0,4.72,IT,1738787982
354,lake monticello,37.9232,-78.3347,4.23,52,100,0.45,US,1738787983
355,ushibukamachi,32.1906,130.0228,3.97,72,100,8.68,JP,1738787984
356,krasnovishersk,60.4078,57.082,-8.21,94,100,1.11,RU,1738787985
357,canubing no 2,13.35,121.1333,24.23,92,100,1.76,PH,1738787986
358,toamasina,-18.1667,49.3833,24.76,91,100,3.4,MG,1738787987
359,mount gambier,-37.8333,140.7667,14.17,94,13,2.05,AU,1738787813
360,sansanne-mango,10.3592,0.4708,29.07,9,0,2.96,TG,1738787990
361,bandarbeyla,9.4942,50.8122,22.81,76,29,6.71,SO,1738787991
